,Fuel Type Code,Station Name_x,Street Address,City,State,ZIP,Status Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network_x,Geocode Status,Latitude,Longitude,ID,EV Connector Types,Country,Access Code,Access Detail Code,Federal Agency Code,Facility Type,EV Pricing,REDC,County,Station Name_y,Level 2 Ports,Level 2 Locations,DCFC Ports,DCFC Locations,EV Network_y
626,ELEC,BURNS MGT OXFORD 3,6203 Johnston Rd,Albany,NY,12203,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.68536,-73.87069,119018,J1772,US,public,,,,,Capital Region,Albany County,BURNS MGT OXFORD 3,2,1,,,ChargePoint Network
629,ELEC,BURNS MGT HV 2,102 Bleeker Rd,Guilderland,NY,12084,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.690952,-73.887541,120826,J1772,US,public,,,,,Capital Region,Albany County,BURNS MGT HV 2,2,1,,,ChargePoint Network
637,ELEC,ROSENBLUM300 100 GREAT OAKS,100 Great Oaks Blvd,Albany,NY,12203,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.683264,-73.846461,120975,J1772,US,public,,,,,Capital Region,Albany County,ROSENBLUM300 100 GREAT OAKS,2,1,,,ChargePoint Network
639,ELEC,ROSENBLUM300 187 WOLF RD,187 Wolf Rd,Albany,NY,12205,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.722447,-73.800636,121068,J1772,US,public,,,,,Capital Region,Albany County,ROSENBLUM300 187 WOLF RD,2,1,,,ChargePoint Network
640,ELEC,ROSENBLUM300 1 WINNERS,1 Winners Cir,Albany,NY,12205,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.718322,-73.797207,121069,J1772,US,public,,,,,Capital Region,Albany County,ROSENBLUM300 1 WINNERS,2,1,,,ChargePoint Network
649,ELEC,BURNS MGT HV 5,222 Heritage Rd,Guilderland,NY,12203,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.692405,-73.885424,121688,J1772,US,public,,,,,Capital Region,Albany County,BURNS MGT HV 5,2,1,,,ChargePoint Network
681,ELEC,ROSENBLUM300 3 WINNERS 2,3 Winners Cir,Albany,NY,12205,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.721009,-73.797215,122587,J1772,US,public,,,,,Capital Region,Albany County,ROSENBLUM300 3 WINNERS 2,2,1,,,ChargePoint Network
746,ELEC,US Postal Service,45 Hudson Ave,Albany,NY,12207,E,24 hours daily,,1,,,EV Connect,GPS,42.6480025,-73.7522905,123113,J1772,US,public,,USPS,FED_GOV,,Capital Region,Albany County,Albany Parking Authority - Green Hudson Garage,1,1,,,EV Connect
766,ELEC,John Boyd Thacher State Park,830 Thacher Park Rd,Voorheesville,NY,12186,E,24 hours daily,,1,,,EV Connect,GPS,42.6541947,-74.0178139,123136,J1772,US,public,,,PARK,,Capital Region,Albany County,John Boyd Thacher State Park,1,1,,,EV Connect
786,ELEC,University at Albany - Building 25 Parking Lot,1400 Washington Ave,Albany,NY,12222,E,24 hours daily,,2,,,EV Connect,GPS,42.688926,-73.828718,123301,J1772,US,public,,,COLLEGE_CAMPUS,Free,Capital Region,Albany County,University at Albany - Building 25 Parking Lot,2,1,,,EV Connect
787,ELEC,University at Albany - SEFCU Arena Parking Lot,1400 Washington Ave,Albany,NY,12222,E,24 hours daily,,2,,,EV Connect,GPS,42.682053,-73.828373,123302,J1772,US,public,,,COLLEGE_CAMPUS,Free,Capital Region,Albany County,University at Albany - SEFCU Arena Parking Lot,2,1,,,EV Connect
788,ELEC,University at Albany - Indian Quad Parking Area,1400 Washington Ave,Albany,NY,12222,E,24 hours daily,,2,,,EV Connect,GPS,42.683683,-73.821903,123303,J1772,US,public,,,COLLEGE_CAMPUS,Free,Capital Region,Albany County,University at Albany - Indian Quad Parking Area,2,1,,,EV Connect
794,ELEC,TRICITYRENTALS PARK SOUTH,17 New Scotland Av,Albany,NY,12208,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.654458,-73.773464,123416,J1772,US,public,,,,,Capital Region,Albany County,TRICITYRENTALS PARK SOUTH,2,1,,,ChargePoint Network
795,ELEC,TRICITYRENTALS 33 NEW SCOTLAND,33 New Scotland Ave,Albany,NY,12208,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.653761,-73.774222,123417,J1772,US,public,,,,,Capital Region,Albany County,TRICITYRENTALS 33 NEW SCOTLAND,2,1,,,ChargePoint Network
820,ELEC,HUDSON PRESERVE BLDG 2 #6,213 Beryl Way,Watervliet,NY,12189,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.732735,-73.72521,143165,J1772,US,public,,,,,Capital Region,Albany County,HUDSON PRESERVE BLDG 2 #6,2,1,,,ChargePoint Network
821,ELEC,HUDSON PRESERVE BLDG 7 #7,12 Beryl Way,Watervliet,NY,12189,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.732693,-73.72359,143172,J1772,US,public,,,,,Capital Region,Albany County,HUDSON PRESERVE BLDG 7 #7,2,1,,,ChargePoint Network
824,ELEC,HUDSON PRESERVE BLDG 22 #3,12 Brooke Cir,Watervliet,NY,12189,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.733753,-73.72753,143196,J1772,US,public,,,,,Capital Region,Albany County,HUDSON PRESERVE BLDG 22 #3,2,1,,,ChargePoint Network
828,ELEC,HUDSON PRESERVE BLDG 6 #8,913 Beryl Way,Watervliet,NY,12189,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.731922,-73.724144,143224,J1772,US,public,,,,,Capital Region,Albany County,HUDSON PRESERVE BLDG 6 #8,2,1,,,ChargePoint Network
829,ELEC,HUDSON PRESERVE BLDG 11 #9,8 Beryl Way,Watervliet,NY,12189,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.73143,-73.72433,143229,J1772,US,public,,,,,Capital Region,Albany County,HUDSON PRESERVE BLDG 11 #9,2,1,,,ChargePoint Network
830,ELEC,HUDSON PRESERVE BLDG 21 #4,2101 Beryl Way,Watervliet,NY,12189,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.733166,-73.727295,143241,J1772,US,public,,,,,Capital Region,Albany County,HUDSON PRESERVE BLDG 21 #4,2,1,,,ChargePoint Network
831,ELEC,HUDSON PRESERVE BLDG 17 #11,1701 Beryl Way,Watervliet,NY,12189,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.731262,-73.72642,143243,J1772,US,public,,,,,Capital Region,Albany County,HUDSON PRESERVE BLDG 17 #11,2,1,,,ChargePoint Network
832,ELEC,HUDSON PRESERVE BLDG 19 #12,1901 Beryl Way,Watervliet,NY,12189,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.73253,-73.72693,143244,J1772,US,public,,,,,Capital Region,Albany County,HUDSON PRESERVE BLDG 19 #12,2,1,,,ChargePoint Network
833,ELEC,HUDSON PRESERVE BLDG 19 #13,1601 Beryl Way,Watervliet,NY,12189,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.732864,-73.72669,143251,J1772,US,public,,,,,Capital Region,Albany County,HUDSON PRESERVE BLDG 19 #13,2,1,,,ChargePoint Network
834,ELEC,HUDSON PRESERVE BLDG 25 #1,2507 Brooke Cir,Watervliet,NY,12189,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.73454,-73.72825,143272,J1772,US,public,,,,,Capital Region,Albany County,HUDSON PRESERVE BLDG 25 #1,2,1,,,ChargePoint Network
844,ELEC,BA #1 7 AIRPORT PARK,7 Airport Park Blvd,Latham,NY,12110,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.756546,-73.82011,143433,J1772,US,public,,,,,Capital Region,Albany County,BA #1 7 AIRPORT PARK,2,1,,,ChargePoint Network
845,ELEC,BA #1 11 BRITISH AMER,11 British American Blvd,Latham,NY,12110,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.761303,-73.81754,143437,J1772,US,public,,,,,Capital Region,Albany County,BA #1 11 BRITISH AMER,2,1,,,ChargePoint Network
846,ELEC,BA #1 29 BRITISH AMER,29 British American Blvd,Latham,NY,12110,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.762638,-73.822044,143440,J1772,US,public,,,,,Capital Region,Albany County,BA #1 29 BRITISH AMER,2,1,,,ChargePoint Network
847,ELEC,BA #1 40BRITISH AMER,40 British American Blvd,Latham,NY,12110,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.768475,-73.82226,143441,J1772,US,public,,,,,Capital Region,Albany County,BA #1 40BRITISH AMER,2,1,,,ChargePoint Network
862,ELEC,HUDSON PRESERVE BERYL WAY 5,136 Troy Schdy Rd,Watervliet,NY,12189,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.73302,-73.72589,143920,J1772,US,public,,,,,Capital Region,Albany County,HUDSON PRESERVE BERYL WAY 5,2,1,,,ChargePoint Network
867,ELEC,HUDSON PRESERVE BLDG 12 #10,1002 Beryl Way,Watervliet,NY,12189,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.73136,-73.72597,144375,J1772,US,public,,,,,Capital Region,Albany County,HUDSON PRESERVE BLDG 12 #10,2,1,,,ChargePoint Network
869,ELEC,ELECTRIC DOG DELMAR VET 1,910 Delaware Ave,Delmar,NY,12054,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.6074,-73.872826,144998,J1772,US,public,,,,,Capital Region,Albany County,ELECTRIC DOG DELMAR VET 1,2,1,,,ChargePoint Network
894,ELEC,HONEST WEIGHT HONEST WEIGHT 2,100 Watervliet av,Albany,NY,12206,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.67819,-73.78163,146796,J1772,US,public,,,,,Capital Region,Albany County,HONEST WEIGHT HONEST WEIGHT 2,2,1,,,ChargePoint Network
895,ELEC,HONEST WEIGHT HONEST WEIGHT 1,81 Watervliet Ave,Albany,NY,12206,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.678158,-73.78155,146797,J1772,US,public,,,,,Capital Region,Albany County,HONEST WEIGHT HONEST WEIGHT 1,2,1,,,ChargePoint Network
912,ELEC,PICOTTE 80 WOLF 2,80 Wolf Rd,Colonie,NY,12205,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.715424,-73.81346,147462,J1772,US,public,,,,,Capital Region,Albany County,PICOTTE 80 WOLF 2,2,1,,,ChargePoint Network
916,ELEC,PICOTTE PARK PLACE 1,1 Park Pl,Colonie,NY,12205,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.715828,-73.81499,147503,J1772,US,public,,,,,Capital Region,Albany County,PICOTTE PARK PLACE 1,2,1,,,ChargePoint Network
926,ELEC,CDPHP - Patroon Creek Blvd,500 Patroon Creek Blvd,Albany,NY,12206,E,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,4,,,SemaCharge Network,GPS,42.6848335,-73.8049654,148065,J1772,US,public,,,,$1.50-$5.00/Hr Variable Parking Fee,Capital Region,Albany County,CDPHP - Patroon Creek Blvd,4,1,,,SemaCharge Network
953,ELEC,BURNS MGT SCH COMM BLDG 5,1 Broom Shop Lane,Latham,NY,12110,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.741806,-73.787998,149545,J1772,US,public,,,,,Capital Region,Albany County,BURNS MGT SCH COMM BLDG 5,2,1,,,ChargePoint Network
954,ELEC,BURNS MGT SCH COMM BLDG 2,1 broom shop rd,Latham,NY,12110,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.739933,-73.788345,149546,J1772,US,public,,,,,Capital Region,Albany County,BURNS MGT SCH COMM BLDG 2,2,1,,,ChargePoint Network
956,ELEC,HARMONY MILLS 1 WEST 2 2.3,100 N Mohawk St,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.778454,-73.70279,149625,J1772,US,public,,,,,Capital Region,Albany County,HARMONY MILLS 1 WEST 2 2.3,2,1,,,ChargePoint Network
957,ELEC,HARMONY MILLS 1 WEST 2 2.4,50 N Mohawk St,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.778393,-73.70271,149626,J1772,US,public,,,,,Capital Region,Albany County,HARMONY MILLS 1 WEST 2 2.4,2,1,,,ChargePoint Network
958,ELEC,HARMONY MILLS 1 WEST 1 1.2,Mohawk St & Cohoes Mills,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.78158,-73.705696,149627,J1772,US,public,,,,,Capital Region,Albany County,HARMONY MILLS 1 WEST 1 1.2,2,1,,,ChargePoint Network
959,ELEC,HARMONY MILLS 1 RIVERVIEW 1.1,N Mohawk St & Vliet St,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.78051,-73.704094,149628,J1772,US,public,,,,,Capital Region,Albany County,HARMONY MILLS 1 RIVERVIEW 1.1,2,1,,,ChargePoint Network
1045,ELEC,MARKET 32 EV MARKET GLENMONT,329 Town Square Plaza,Glenmont,NY,12077,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.602394,-73.79083,152276,J1772,US,public,,,,,Capital Region,Albany County,MARKET 32 EV MARKET GLENMONT,2,1,,,ChargePoint Network
1057,ELEC,286WAE 286 WAS AVE EXT,286 Washington Ave Ext,Albany,NY,12203,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.70535,-73.86069,152461,J1772,US,public,,,,,Capital Region,Albany County,286WAE 286 WAS AVE EXT,2,1,,,ChargePoint Network
1062,ELEC,BA #1 19 BA 2,19 British American Blvd,Latham,NY,12110,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.761402,-73.82204,153091,J1772,US,public,,,,,Capital Region,Albany County,BA #1 19 BA 2,2,1,,,ChargePoint Network
1069,ELEC,PRIMA LOFTS LL ALB LOFTS 1.2,1373 Broadway,Menands,NY,12204,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.67623,-73.73344,153305,J1772,US,public,,,,,Capital Region,Albany County,PRIMA LOFTS LL ALB LOFTS 1.2,2,1,,,ChargePoint Network
1081,ELEC,COLE GROUP COLUMBIA 2,32 Columbia Gardens,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.77094,-73.716286,154056,J1772,US,public,,,,,Capital Region,Albany County,COLE GROUP COLUMBIA 2,2,1,,,ChargePoint Network
1082,ELEC,COLE GROUP COLONIE EAST 4,173 Doorstone Dr,Latham,NY,12110,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.74551,-73.77077,154058,J1772,US,public,,,,,Capital Region,Albany County,COLE GROUP COLONIE EAST 4,2,1,,,ChargePoint Network
1083,ELEC,COLE GROUP COLONIE EAST 3,98 Saratoga Ct,Latham,NY,12110,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.746113,-73.770676,154059,J1772,US,public,,,,,Capital Region,Albany County,COLE GROUP COLONIE EAST 3,2,1,,,ChargePoint Network
1084,ELEC,COLE GROUP COLONIE EAST 1,4025 Doorstone Dr,Latham,NY,12110,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.745777,-73.768845,154060,J1772,US,public,,,,,Capital Region,Albany County,COLE GROUP COLONIE EAST 1,2,1,,,ChargePoint Network
1090,ELEC,MARKET 32 EV LATHAM EV 1,873 New Loudon Rd,Latham,NY,12110,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.752846,-73.758177,154302,J1772,US,public,,,,,Capital Region,Albany County,MARKET 32 EV LATHAM EV 1,2,1,,,ChargePoint Network
1092,ELEC,255ORANGE 255 ORANGE ST,255 Orange St,Albany,NY,12210,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.658684,-73.75884,154335,J1772,US,public,,,,,Capital Region,Albany County,255ORANGE 255 ORANGE ST,2,1,,,ChargePoint Network
1103,ELEC,PICOTTE 1450 WESTERN 2,1450 western ave,Albany,NY,12203,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.68016,-73.83868,154452,J1772,US,public,,,,,Capital Region,Albany County,PICOTTE 1450 WESTERN 2,2,1,,,ChargePoint Network
1114,ELEC,COLE GROUP COLE GROUP 2,12 Doorstone Dr,Latham,NY,12110,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.745613,-73.77206,154705,J1772,US,public,,,,,Capital Region,Albany County,COLE GROUP COLE GROUP 2,2,1,,,ChargePoint Network
1167,ELEC,MARKET 32 EV PEDIATRICEV1,81 Schoolhouse Rd,Albany,NY,12203,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.679023,-73.844938,155290,J1772,US,public,,,,,Capital Region,Albany County,MARKET 32 EV PEDIATRICEV1,2,1,,,ChargePoint Network
1214,ELEC,CENTROTHERM CENTRO F1,427 S Pearl St,Albany,NY,12202,E,24 hours daily,,1,,,ChargePoint Network,GPS,42.637853,-73.758948,158535,J1772,US,public,,,,,Capital Region,Albany County,CENTROTHERM CENTRO F1,1,1,,,ChargePoint Network
1217,ELEC,BURNS MGT OXFORD 1,6211 Johnston Rd,Albany,NY,12203,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.68476,-73.868251,162126,J1772,US,public,,,,,Capital Region,Albany County,BURNS MGT OXFORD 1,2,1,,,ChargePoint Network
1225,ELEC,ALBANY COUNTY RAIL TRAIL,839 Kenwood Ave Rail Trail,Slingerlands,NY,12159,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.629269,-73.863661,162134,J1772,US,public,,,,,Capital Region,Albany County,ALBANY COUNTY RAIL TRAIL,2,1,,,ChargePoint Network
1231,ELEC,TPS AMC DOWNTOWN,22 Holland Ave,Albany,NY,12209,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.64623,-73.77293,162141,J1772,US,public,,,,,Capital Region,Albany County,TPS AMC DOWNTOWN,2,1,,,ChargePoint Network
1250,ELEC,ALBANY COUNTY NURSING HOME,780 Albany Shaker Rd,Albany,NY,12211,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.74327,-73.814908,162162,J1772,US,public,,,,,Capital Region,Albany County,ALBANY COUNTY NURSING HOME,2,1,,,ChargePoint Network
1262,ELEC,ALBANY COUNTY TIMES UNION GA2,100 Beaver St,Albany,NY,12207,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.649236,-73.756103,162174,J1772,US,public,,,,,Capital Region,Albany County,ALBANY COUNTY TIMES UNION GA2,2,1,,,ChargePoint Network
1281,ELEC,NATIONAL GRID U OF ALBANY,Collins Circle,Albany,NY,12206,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.688931,-73.823026,162194,J1772,US,public,,,,,Capital Region,Albany County,NATIONAL GRID U OF ALBANY,2,1,,,ChargePoint Network
1282,ELEC,NATIONAL GRID VENT GUILDERLND,2080 Western Ave,Guilderland,NY,12084,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.697495,-73.890942,162195,J1772,US,public,,,,,Capital Region,Albany County,NATIONAL GRID VENT GUILDERLND,2,1,,,ChargePoint Network
1284,ELEC,NATIONAL GRID CHILIS GLENMONT,380 US-9W,Glenmont,NY,12077,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.603303,-73.790054,162197,J1772,US,public,,,,,Capital Region,Albany County,NATIONAL GRID CHILIS GLENMONT,2,1,,,ChargePoint Network
1287,ELEC,NATIONAL GRID HOMEWOOD SUITES,216 Wolf Road,Albany,NY,12205,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.725844,-73.799419,162200,J1772,US,public,,,,,Capital Region,Albany County,NATIONAL GRID HOMEWOOD SUITES,2,1,,,ChargePoint Network
1288,ELEC,NATIONAL GRID SUNY 1,135 Western Ave,Albany,NY,12203,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.659167,-73.772672,162201,J1772,US,public,,,,,Capital Region,Albany County,NATIONAL GRID SUNY 1,2,1,,,ChargePoint Network
1289,ELEC,NATIONAL GRID CHILIS ALBANY,60 wolf rd,Colonie,NY,12205,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.714731,-73.814118,162202,J1772,US,public,,,,,Capital Region,Albany County,NATIONAL GRID CHILIS ALBANY,2,1,,,ChargePoint Network
1290,ELEC,NATIONAL GRID KOHLS ALBANY,1814 Central Ave,Albany,NY,12205,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.729741,-73.851066,162203,J1772,US,public,,,,,Capital Region,Albany County,NATIONAL GRID KOHLS ALBANY,2,1,,,ChargePoint Network
1307,ELEC,NATIONAL GRID CENTURY HOUSE,977 Loudon rd,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.771298,-73.752656,162221,J1772,US,public,,,,,Capital Region,Albany County,NATIONAL GRID CENTURY HOUSE,2,1,,,ChargePoint Network
1327,ELEC,NATIONAL GRID SUNY NANOTECH,257 Fuller Rd,Albany,NY,12203,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.690456,-73.833055,162241,J1772,US,public,,,,,Capital Region,Albany County,NATIONAL GRID SUNY NANOTECH,2,1,,,ChargePoint Network
1437,ELEC,COHOES STATION 2,97 N Mohawk St,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.791645,-73.71457,162357,J1772,US,public,,,,,Capital Region,Albany County,COHOES STATION 2,2,1,,,ChargePoint Network
1438,ELEC,COHOES STATION 1,18 White St,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.772415,-73.701065,162358,J1772,US,public,,,,,Capital Region,Albany County,COHOES STATION 1,2,1,,,ChargePoint Network
1439,ELEC,COHOES STATION 3,65 Remsen St,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.775368,-73.70135,162359,J1772,US,public,,,,,Capital Region,Albany County,COHOES STATION 3,2,1,,,ChargePoint Network
